ID,year,week,start.date,end.date,district,cases
402,2007,15,2007-04-07,2007-04-13,Mannar,0
403,2007,15,2007-04-07,2007-04-13,Vavuniya,0
404,2007,15,2007-04-07,2007-04-13,Mullaitivu,0
405,2007,15,2007-04-07,2007-04-13,Batticaloa,5
406,2007,15,2007-04-07,2007-04-13,Ampara,0
407,2007,15,2007-04-07,2007-04-13,Trincomalee,1
408,2007,15,2007-04-07,2007-04-13,Kurunegala,5
409,2007,15,2007-04-07,2007-04-13,Puttalam,0
410,2007,15,2007-04-07,2007-04-13,Anuradhapura,1
411,2007,15,2007-04-07,2007-04-13,Polonnaruwa,0
412,2007,15,2007-04-07,2007-04-13,Badulla,0
413,2007,15,2007-04-07,2007-04-13,Monaragala,0
414,2007,15,2007-04-07,2007-04-13,Ratnapura,3
415,2007,15,2007-04-07,2007-04-13,Kegalle,0
416,2007,15,2007-04-07,2007-04-13,Kalmune,0
417,2007,16,2007-04-14,2007-04-20,Colombo,10
418,2007,16,2007-04-14,2007-04-20,Gampaha,8
419,2007,16,2007-04-14,2007-04-20,Kalutara,1
420,2007,16,2007-04-14,2007-04-20,Kandy,1
421,2007,16,2007-04-14,2007-04-20,Matale,0
422,2007,16,2007-04-14,2007-04-20,NuwaraEliya,0
423,2007,16,2007-04-14,2007-04-20,Galle,0
424,2007,16,2007-04-14,2007-04-20,Hambanthota,2
425,2007,16,2007-04-14,2007-04-20,Matara,0
426,2007,16,2007-04-14,2007-04-20,Jaffna,0
427,2007,16,2007-04-14,2007-04-20,Kilinochchi,0
428,2007,16,2007-04-14,2007-04-20,Mannar,0
429,2007,16,2007-04-14,2007-04-20,Vavuniya,0
430,2007,16,2007-04-14,2007-04-20,Mullaitivu,0
431,2007,16,2007-04-14,2007-04-20,Batticaloa,5
432,2007,16,2007-04-14,2007-04-20,Ampara,0
433,2007,16,2007-04-14,2007-04-20,Trincomalee,3
434,2007,16,2007-04-14,2007-04-20,Kurunegala,2
435,2007,16,2007-04-14,2007-04-20,Puttalam,1
436,2007,16,2007-04-14,2007-04-20,Anuradhapura,1
437,2007,16,2007-04-14,2007-04-20,Polonnaruwa,6
438,2007,16,2007-04-14,2007-04-20,Badulla,0
439,2007,16,2007-04-14,2007-04-20,Monaragala,0
440,2007,16,2007-04-14,2007-04-20,Ratnapura,3
441,2007,16,2007-04-14,2007-04-20,Kegalle,2
442,2007,16,2007-04-14,2007-04-20,Kalmune,0
443,2007,17,2007-04-21,2007-04-27,Colombo,5
444,2007,17,2007-04-21,2007-04-27,Gampaha,2
445,2007,17,2007-04-21,2007-04-27,Kalutara,3
446,2007,17,2007-04-21,2007-04-27,Kandy,3
447,2007,17,2007-04-21,2007-04-27,Matale,0
448,2007,17,2007-04-21,2007-04-27,NuwaraEliya,0
449,2007,17,2007-04-21,2007-04-27,Galle,0
450,2007,17,2007-04-21,2007-04-27,Hambanthota,0
451,2007,17,2007-04-21,2007-04-27,Matara,5
452,2007,17,2007-04-21,2007-04-27,Jaffna,0
453,2007,17,2007-04-21,2007-04-27,Kilinochchi,0
454,2007,17,2007-04-21,2007-04-27,Mannar,0
455,2007,17,2007-04-21,2007-04-27,Vavuniya,0
456,2007,17,2007-04-21,2007-04-27,Mullaitivu,0
457,2007,17,2007-04-21,2007-04-27,Batticaloa,1
458,2007,17,2007-04-21,2007-04-27,Ampara,0
459,2007,17,2007-04-21,2007-04-27,Trincomalee,0
460,2007,17,2007-04-21,2007-04-27,Kurunegala,3
461,2007,17,2007-04-21,2007-04-27,Puttalam,1
462,2007,17,2007-04-21,2007-04-27,Anuradhapura,1
463,2007,17,2007-04-21,2007-04-27,Polonnaruwa,3
464,2007,17,2007-04-21,2007-04-27,Badulla,0
465,2007,17,2007-04-21,2007-04-27,Monaragala,0
466,2007,17,2007-04-21,2007-04-27,Ratnapura,0
467,2007,17,2007-04-21,2007-04-27,Kegalle,0
468,2007,17,2007-04-21,2007-04-27,Kalmune,0
469,2007,18,2007-04-28,2007-05-04,Colombo,11
470,2007,18,2007-04-28,2007-05-04,Gampaha,2
471,2007,18,2007-04-28,2007-05-04,Kalutara,1
472,2007,18,2007-04-28,2007-05-04,Kandy,2
473,2007,18,2007-04-28,2007-05-04,Matale,0
474,2007,18,2007-04-28,2007-05-04,NuwaraEliya,0
